                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.10717,               0.083864,               0.096813,               0.038551,                0.79649,                0.17337,                0.16749,               0.044788,                0.83068,                0.19958,                0.21715,                0.16406,               0.083443,               0.037276,               0.058273,                0.03288,               0.070566,              0.0032704,              0.0032704
                      1,               0.087295,                 0.0182,               0.060215,               0.025341,                0.59622,                0.15507,                0.24611,               0.086786,                0.75143,                 0.4117,                0.49789,                0.31678,               0.085253,               0.014595,               0.038037,               0.020918,               0.040501,              0.0065384,              0.0065384
                      2,               0.084744,               0.018755,               0.054499,               0.019505,                0.38975,                0.57195,                0.44293,                0.14726,                0.42638,                0.61221,                0.53167,                0.30847,               0.078915,               0.016206,               0.037272,               0.018915,               0.010369,              0.0097404,              0.0097404
                      3,                 0.0797,               0.015736,                0.04876,               0.019008,                0.49697,                0.62929,                0.48564,                0.18639,                 0.5399,                 0.6371,                0.58242,                0.41595,                0.07665,               0.015468,               0.037502,               0.015963,               0.009703,               0.009703,               0.009703
                      4,               0.071816,               0.014675,               0.047547,               0.014563,                0.42238,                0.65431,                0.51316,                0.20196,                0.39893,                0.64177,                0.49132,                0.32049,               0.071644,               0.016233,               0.041934,               0.011724,               0.009703,               0.009703,               0.009703
                      5,               0.062906,               0.014144,               0.044478,               0.011782,                0.39718,                0.68578,                0.52934,                0.20517,                0.40485,                0.68808,                0.55685,                0.41198,               0.060959,               0.014598,               0.040889,              0.0090139,               0.009604,               0.009604,               0.009604
                      6,               0.056191,               0.014056,               0.042774,                0.01001,                0.58828,                0.67223,                0.60049,                0.28097,                0.59658,                0.67289,                0.62418,                0.43417,               0.053277,               0.025009,               0.043313,               0.010689,               0.009505,               0.009505,               0.009505
                      7,               0.048782,               0.013427,               0.043926,              0.0086773,                 0.8152,                0.75338,                0.82357,                0.45598,                0.81421,                0.75347,                0.81656,                0.65342,               0.041214,               0.015401,               0.034409,              0.0075818,               0.009406,               0.009406,               0.009406
                      8,               0.044539,               0.013035,               0.040546,              0.0075391,                0.69514,                0.63268,                0.74831,                0.35047,                0.71774,                0.64373,                0.76251,                0.55313,               0.044451,               0.017089,               0.037372,                0.01107,               0.009307,               0.009307,               0.009307
                      9,               0.043174,               0.014035,               0.039021,              0.0071778,                0.80566,                0.68371,                0.73006,                0.42877,                0.81298,                0.66403,                 0.7064,                0.46774,               0.051044,               0.035632,               0.049157,                0.01106,               0.009208,               0.009208,               0.009208
                     10,               0.041926,               0.014623,               0.039319,              0.0060376,                 0.7328,                0.75338,                0.82043,                0.46636,                 0.6935,                0.72651,                0.76647,                0.54718,               0.038471,               0.015187,                0.03697,              0.0051666,               0.009109,               0.009109,               0.009109
                     11,                0.03637,               0.013579,                0.04078,               0.005497,                0.91969,                0.84728,                0.94863,                0.56827,                0.93816,                0.83571,                 0.9345,                0.71527,               0.030754,               0.012914,               0.032332,              0.0045847,                0.00901,                0.00901,                0.00901
                     12,               0.039206,                0.01342,               0.038456,              0.0051281,                0.81584,                0.85887,                0.90255,                 0.5257,                0.70689,                0.82829,                  0.807,                 0.5596,               0.037714,               0.012263,               0.033259,              0.0047879,               0.008911,               0.008911,               0.008911
                     13,               0.037995,               0.012218,               0.034976,              0.0048378,                0.67822,                 0.8281,                0.86918,                0.53128,                0.65031,                0.80874,                0.81647,                0.55555,               0.039253,               0.011946,                  0.031,               0.004088,               0.008812,               0.008812,               0.008812
                     14,               0.035938,               0.013153,               0.035629,              0.0047057,                0.87048,                0.93864,                  0.951,                0.52411,                0.86274,                0.92203,                0.93688,                0.72955,               0.037093,               0.012152,               0.030224,              0.0034037,               0.008713,               0.008713,               0.008713
                     15,               0.035201,               0.012815,               0.037794,              0.0041679,                0.95347,                0.91513,                0.96666,                 0.6824,                0.93644,                0.88939,                 0.9237,                0.67658,               0.027975,               0.013125,               0.030163,              0.0037883,               0.008614,               0.008614,               0.008614
                     16,               0.033477,                0.01264,               0.035815,              0.0042612,                0.82503,                0.95285,                0.96122,                 0.6156,                0.80778,                0.91719,                0.92235,                0.62973,               0.032504,                0.01119,               0.028419,              0.0032653,               0.008515,               0.008515,               0.008515
                     17,               0.031795,               0.012801,               0.036468,              0.0043005,                 0.9285,                0.95648,                0.97492,                 0.6116,                0.91816,                0.94573,                0.96082,                0.65098,               0.031049,               0.011275,               0.032046,               0.003176,               0.008416,               0.008416,               0.008416
                     18,               0.032328,               0.012818,                0.03536,               0.003282,                0.90927,                0.91174,                0.94325,                0.65319,                0.84593,                0.91325,                0.88363,                0.64158,               0.031059,               0.011896,                0.02854,              0.0026599,               0.008317,               0.008317,               0.008317
                     19,               0.032862,               0.012276,               0.034308,              0.0035572,                0.93095,                0.95416,                0.97733,                0.68903,                 0.9058,                0.92939,                0.92507,                0.65368,               0.029379,               0.010961,                0.02786,              0.0027598,               0.008218,               0.008218,               0.008218
                     20,               0.031555,               0.011971,               0.033893,              0.0035343,                0.97923,                0.95228,                0.98337,                0.67611,                0.96593,                0.93463,                0.95696,                0.74725,                 0.0247,               0.011064,               0.026876,              0.0026945,               0.008119,               0.008119,               0.008119
                     21,                0.03093,                0.01175,               0.032478,              0.0032959,                0.98088,                0.96882,                0.98884,                0.62228,                0.97195,                0.96452,                0.97393,                0.76964,               0.027119,                0.01109,               0.026754,              0.0025508,                0.00802,                0.00802,                0.00802
                     22,               0.026595,               0.011996,               0.034693,              0.0029683,                0.87004,                 0.9599,                0.98273,                0.70416,                0.85357,                0.94493,                 0.9494,                0.71649,               0.026193,               0.010958,               0.028188,              0.0024185,               0.007921,               0.007921,               0.007921
                     23,               0.027661,               0.011734,               0.033158,              0.0028048,                0.96048,                0.97192,                0.98092,                0.69719,                0.95692,                0.96364,                0.97104,                0.76494,               0.024295,               0.012433,               0.026515,              0.0024203,               0.007822,               0.007822,               0.007822
                     24,               0.028595,               0.011555,               0.032035,              0.0028557,                0.98004,                0.97347,                0.98827,                0.76705,                0.97557,                0.96918,                 0.9803,                 0.7654,               0.020207,               0.010529,               0.025142,              0.0019536,               0.007723,               0.007723,               0.007723
                     25,               0.027846,               0.012315,               0.032764,              0.0029131,                0.97879,                0.98272,                0.98783,                0.70516,                0.95539,                0.96129,                0.95559,                0.68754,               0.024138,               0.010255,               0.025314,              0.0021015,               0.007624,               0.007624,               0.007624
                     26,               0.028059,               0.011926,               0.031202,              0.0026883,                0.98002,                0.96183,                0.98616,                0.69831,                0.93942,                0.96993,                0.97022,                0.66787,               0.026597,               0.010908,               0.026585,              0.0022195,               0.007525,               0.007525,               0.007525
                     27,               0.027764,               0.011842,               0.032845,              0.0026807,                 0.9341,                0.97419,                0.98538,                0.73824,                0.92161,                0.96346,                0.96485,                0.71485,               0.023934,               0.010712,               0.025439,               0.002372,               0.007426,               0.007426,               0.007426
                     28,               0.023587,               0.011676,               0.030247,              0.0024865,                 0.8382,                0.92326,                0.92137,                0.66335,                0.82549,                0.90738,                0.88005,                0.68813,               0.025789,               0.011459,               0.027273,              0.0023745,               0.007327,               0.007327,               0.007327
                     29,               0.025953,               0.011335,               0.030526,              0.0023973,                0.96859,                0.94195,                0.97796,                0.72809,                0.95824,                0.92865,                0.95352,                 0.7467,               0.022491,               0.011559,               0.025542,              0.0027425,               0.007228,               0.007228,               0.007228
                     30,               0.024725,                0.01146,               0.030861,              0.0026914,                0.98696,                0.96602,                0.98641,                0.77489,                0.97836,                0.95402,                0.97082,                0.74927,               0.019139,               0.010883,               0.024313,              0.0026693,               0.007129,               0.007129,               0.007129
