                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.11851,                0.09846,               0.057932,               0.040451,                0.12301,                0.18746,               0.083925,               0.019956,                0.23869,                0.25825,                0.19762,                0.11819,                0.10021,                0.04899,               0.047383,               0.035169,               0.070638,              0.0032624,              0.0032624
                      1,               0.093871,               0.020212,               0.051703,               0.029055,                0.35108,                0.25411,                0.29434,               0.099024,                0.52594,                0.34544,                0.42696,                0.29624,               0.086686,               0.019643,               0.034873,               0.025009,               0.040573,              0.0065304,              0.0065304
                      2,               0.089187,               0.018694,               0.045446,               0.022667,                0.29768,                0.35415,                0.29093,               0.070698,                0.53994,                0.60536,                0.51463,                0.33262,               0.091802,               0.016605,               0.034069,                0.01886,               0.010442,              0.0097325,              0.0097325
                      3,               0.087325,               0.015723,               0.043984,               0.019332,                0.27931,                0.42898,                0.33462,                0.14471,                0.50302,                0.53446,                0.50615,                 0.3673,               0.091953,               0.014573,               0.030139,               0.013453,               0.009703,               0.009703,               0.009703
                      4,               0.080953,               0.014636,               0.041962,               0.016231,                0.39583,                0.56078,                0.37113,                0.13009,                0.38769,                0.58296,                0.38809,                0.19229,               0.077147,               0.015417,               0.030577,                0.01134,               0.009703,               0.009703,               0.009703
                      5,               0.072122,               0.014763,                 0.0404,               0.013679,                0.38472,                 0.4839,                0.40082,                0.20024,                0.38362,                0.46413,                0.40601,                0.24699,                0.06992,               0.015891,               0.030019,              0.0095598,               0.009604,               0.009604,               0.009604
                      6,               0.061953,               0.015063,                0.03839,                0.01148,                0.53144,                0.62348,                0.60668,                0.29396,                0.53023,                0.58958,                0.58048,                0.38159,               0.060105,               0.012624,               0.027301,              0.0073822,               0.009505,               0.009505,               0.009505
                      7,               0.059418,               0.013009,                0.03778,               0.009234,                0.60481,                0.62107,                0.67774,                0.36623,                0.59566,                0.63259,                0.66483,                0.41543,               0.056027,               0.012129,               0.027188,              0.0062295,               0.009406,               0.009406,               0.009406
                      8,               0.052146,                0.01278,               0.036845,              0.0085911,                0.68268,                0.75074,                0.76385,                0.42876,                0.65113,                0.72898,                0.72133,                0.53383,               0.042834,               0.011585,               0.025906,              0.0051454,               0.009307,               0.009307,               0.009307
                      9,               0.050793,               0.012006,               0.037946,              0.0066368,                0.67235,                0.79016,                0.80876,                0.44023,                0.65892,                0.75907,                0.77462,                0.55764,               0.048499,               0.012899,               0.025637,              0.0048533,               0.009208,               0.009208,               0.009208
                     10,               0.049072,               0.012146,                0.03823,              0.0054064,                0.62987,                0.77377,                0.77998,                0.44248,                0.58861,                0.71148,                0.71292,                0.48998,               0.045333,               0.012446,               0.028005,              0.0052734,               0.009109,               0.009109,               0.009109
                     11,               0.044193,               0.013218,               0.035598,              0.0060197,                0.82266,                0.76242,                0.84682,                0.50504,                0.77879,                0.72786,                0.78245,                0.54048,               0.038919,               0.013652,               0.027652,              0.0052333,                0.00901,                0.00901,                0.00901
                     12,               0.044925,               0.012432,               0.035308,              0.0053441,                0.62924,                0.89425,                0.83172,                0.48217,                0.61217,                0.83036,                0.78186,                0.58472,               0.035452,               0.012334,               0.024816,              0.0040431,               0.008911,               0.008911,               0.008911
                     13,               0.043564,               0.012565,               0.033874,              0.0049773,                0.73578,                0.83909,                0.86269,                 0.5625,                0.67579,                0.77333,                0.76422,                0.53249,               0.037214,               0.016536,               0.026429,              0.0046319,               0.008812,               0.008812,               0.008812
                     14,               0.041153,               0.012349,               0.032961,              0.0050292,                0.78287,                  0.886,                0.89262,                0.47554,                0.69985,                0.81094,                0.77401,                0.50217,               0.040368,               0.013591,               0.026902,              0.0037105,               0.008713,               0.008713,               0.008713
