                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.12944,                0.25406,               0.058608,               0.050358,               0.002378,                 0.1462,               0.002032,             0.00025517,              0.0015331,                0.11111,              0.0020993,             0.00054841,                0.13149,                0.18853,                0.03035,               0.051563,                 0.0946,                 0.0006,                 0.0006
                      1,                 0.1285,                0.14046,               0.049396,               0.046077,              0.0040797,                0.18129,              0.0063959,              0.0013978,              0.0042937,                0.26667,              0.0082512,              0.0025156,                0.12089,                0.11127,                0.03701,               0.046317,               0.088296,              0.0012957,              0.0012957
                      2,                0.12398,               0.086305,               0.056306,               0.040676,              0.0028086,                0.12398,              0.0080803,              0.0015802,              0.0054187,                0.28421,               0.013816,              0.0037737,                0.11641,               0.084543,               0.039848,               0.043488,               0.081987,              0.0019868,              0.0019868
                      3,                0.11972,               0.049604,               0.060562,               0.037921,               0.014693,                0.11111,               0.022871,              0.0037363,               0.010634,                0.55906,               0.061145,               0.028248,                0.10977,               0.046802,               0.041199,               0.039038,               0.075673,              0.0026733,              0.0026733
                      4,                0.11035,               0.030533,               0.063715,               0.031753,               0.055502,                0.22222,               0.098604,               0.020773,               0.085702,                0.30643,                0.13678,               0.085521,                0.10501,               0.032476,               0.040962,               0.036301,               0.069355,              0.0033551,              0.0033551
                      5,                0.10761,               0.026121,               0.063585,               0.032509,               0.047236,                0.21287,               0.042489,               0.013222,                0.10931,                    0.2,                0.13301,               0.079037,                0.11065,               0.024325,               0.032684,               0.031929,               0.063032,              0.0040324,              0.0040324
                      6,                0.10499,               0.022041,               0.051017,               0.031361,               0.043913,                0.13333,               0.040631,              0.0092535,                0.15828,                0.30251,                0.18974,                0.13753,               0.099856,                0.02117,               0.034767,               0.030331,               0.056705,               0.004705,               0.004705
                      7,               0.095677,               0.029691,               0.052559,               0.031263,                0.11118,                0.20019,                 0.1956,               0.037139,                0.24803,                0.31111,                0.25277,                0.15863,                0.09691,               0.027021,                0.03701,               0.026944,               0.050373,              0.0053729,              0.0053729
                      8,               0.094037,               0.030383,               0.055707,               0.028363,                0.15915,                0.22222,                0.14061,               0.043688,                0.53428,                0.39532,                0.37134,                0.23056,               0.098281,               0.027468,               0.036896,               0.025822,               0.044036,              0.0060363,              0.0060363
                      9,               0.095957,               0.022423,               0.047597,               0.027701,                0.15153,                 0.3462,                0.10245,                0.02431,                0.53659,                0.53333,                0.27485,                0.13507,                0.10071,                0.01994,               0.042374,               0.023909,               0.037695,              0.0066951,              0.0066951
